"","ymin_group","kids","actual_mean","optimalc_mean","optimalv_mean","mass_sum"
"361","(3.24,3.28]",3,13.8488034196401,0,0,0.000192260058777419
"362","(3.24,3.28]",4,19.5004655482332,0,0,0.000109321309989165
"363","(3.28,3.32]",0,1.20343775945584,0,0,0.00140904999776939
"364","(3.28,3.32]",1,4.35830447949668,0,0,0.000361359265457847
"365","(3.28,3.32]",2,8.23215995100844,0,0,0.000370483082608542
"366","(3.28,3.32]",3,13.1773834220504,0,0,0.000182886940721939
"367","(3.28,3.32]",4,18.7437370748694,0,0,0.000106172726035825
"368","(3.32,3.37]",0,0.8011223026983,0,0,0.00136660264346802
"369","(3.32,3.37]",1,3.78034576863905,0,0,0.00034505195962887
"370","(3.32,3.37]",2,7.59713459323446,0,0,0.000360553690351352
"371","(3.32,3.37]",3,12.4206189024264,0,0,0.000175029053454461
"372","(3.32,3.37]",4,17.9905610146981,0,0,9.93529298823048e-05
"373","(3.37,3.41]",0,0.408872630015514,0,0,0.00127682884330928
"374","(3.37,3.41]",1,3.28279226559889,0,0,0.000336290826624668
"375","(3.37,3.41]",2,7.00729310020379,0,0,0.00033448243628611
"376","(3.37,3.41]",3,11.7126083593814,0,0,0.0001673043611022
"377","(3.37,3.41]",4,17.0659689842142,0,0,9.67427710056499e-05
"378","(3.41,3.45]",0,0,0,0,0.00124227622027317
"379","(3.41,3.45]",1,2.16941650788088,0,0,0.00031916034164532
"380","(3.41,3.45]",2,5.72376058374296,0,0,0.000330236782132571
"381","(3.41,3.45]",3,10.2299664072863,0,0,0.00016352285741682
"382","(3.41,3.45]",4,15.543640627757,0,0,8.95968154241932e-05
"383","(3.45,3.5]",0,0,0,0,0.00118217429686668
"384","(3.45,3.5]",1,1.62948362790463,0,0,0.000306926506721465
"385","(3.45,3.5]",2,5.06588779954973,0,0,0.000312905850173033
"386","(3.45,3.5]",3,9.53298932082894,0,0,0.000150232537172744
"387","(3.45,3.5]",4,14.7163994604389,0,0,8.74863236391036e-05
"388","(3.5,3.54]",0,0,0,0,0.00114190536353236
"389","(3.5,3.54]",1,1.09457295903968,0,0,0.000288578821185962
"390","(3.5,3.54]",2,4.45177399682826,0,0,0.000300812185895335
"391","(3.5,3.54]",3,8.76578553375452,0,0,0.000146498225969305
"392","(3.5,3.54]",4,13.8507000007855,0,0,8.19576765224904e-05
"393","(3.54,3.58]",0,0,0,0,0.00109380554331216
"394","(3.54,3.58]",1,0.542927641177838,0,0,0.000276552225022628
"395","(3.54,3.58]",2,3.8412792704042,0,0,0.000281966207068731
"396","(3.54,3.58]",3,8.05423128335997,0,0,0.000139196852023855
"397","(3.54,3.58]",4,13.0550374784287,0,0,8.04261241099989e-05
"398","(3.58,3.62]",0,0,0,0,0.00105302411452216
"399","(3.58,3.62]",1,0,0,0,0.000267320873126419
"400","(3.58,3.62]",2,2.53103447949456,0,0,0.000274961692779173
"401","(3.58,3.62]",3,6.60390309024203,0,0,0.000133445225354998
"402","(3.58,3.62]",4,11.4238412194376,0,0,7.63122092329706e-05
"403","(3.62,3.67]",0,0,0,0,0.00100477326883028
"404","(3.62,3.67]",1,0,0,0,0.000257397310263765
"405","(3.62,3.67]",2,1.90976266213471,0,0,0.000259405331422634
"406","(3.62,3.67]",3,5.84754305755805,0,0,0.000129194675150934
"407","(3.62,3.67]",4,10.6114560186198,0,0,7.176062444175e-05
"408","(3.67,3.71]",0,0,0,0,0.000978641298582463
"409","(3.67,3.71]",1,0,0,0,0.000245888982713313
"410","(3.67,3.71]",2,1.28056089480913,0,0,0.000252922537924305
"411","(3.67,3.71]",3,5.15817975196759,0,0,0.000123484977911034
"412","(3.67,3.71]",4,9.82103458901869,0,0,7.14173085479077e-05
"413","(3.71,3.75]",0,0,0,0,0.000930994053280143
"414","(3.71,3.75]",1,0,0,0,0.000236343391912921
"415","(3.71,3.75]",2,0.636145528784416,0,0,0.000243707726803103
"416","(3.71,3.75]",3,4.38462423671047,0,0,0.000116266992771567
"417","(3.71,3.75]",4,8.95235113949744,0,0,6.55795026005993e-05
"418","(3.75,3.8]",0,0,0,0,0.000865134393053926
"419","(3.75,3.8]",1,0,0,0,0.00022315501419118
"420","(3.75,3.8]",2,0,0,0,0.000228232797966401
"421","(3.75,3.8]",3,2.92123460708041,0,0,0.00011386576805991
"422","(3.75,3.8]",4,7.36642261620395,0,0,6.47090992871274e-05
"423","(3.8,3.84]",0,0,0,0,0.000865876801733056
"424","(3.8,3.84]",1,0,0,0,0.000215390050569701
"425","(3.8,3.84]",2,0,0,0,0.000220516015992949
"426","(3.8,3.84]",3,2.21420766093828,0,0,0.000105931841737413
"427","(3.8,3.84]",4,6.54244292376562,0,0,6.30659973601778e-05
"428","(3.84,3.88]",0,0,0,0,0.00081830280504127
"429","(3.84,3.88]",1,0,0,0,0.000211280746295173
"430","(3.84,3.88]",2,0,0,0,0.000208638462889899
"431","(3.84,3.88]",3,1.46751014121032,0,0,0.000103753676782437
"432","(3.84,3.88]",4,5.70796875555797,0,0,5.83751824827692e-05
"433","(3.88,3.93]",0,0,0,0,0.000812899424882722
"434","(3.88,3.93]",1,0,0,0,0.000197485444566006
"435","(3.88,3.93]",2,0,0,0,0.000203918018302537
"436","(3.88,3.93]",3,0.733145105999938,0,0,0.000100662993735219
"437","(3.88,3.93]",4,4.91708838339833,0,0,5.44333871147676e-05
"438","(3.93,3.97]",0,0,0,0,0.000744699574515901
"439","(3.93,3.97]",1,0,0,0,0.000191045083654702
"440","(3.93,3.97]",2,0,0,0,0.000196962491689681
"441","(3.93,3.97]",3,0,0,0,9.34445422650651e-05
"442","(3.93,3.97]",4,3.27274635555181,0,0,5.45026936586097e-05
"443","(3.97,4.01]",0,0,0,0,0.000725061164275413
"444","(3.97,4.01]",1,0,0,0,0.000182582259281146
"445","(3.97,4.01]",2,0,0,0,0.00018133300455879
"446","(3.97,4.01]",3,0,0,0,9.05662020687459e-05
"447","(3.97,4.01]",4,2.46132079145599,0,0,5.12515464400905e-05
"448","(4.01,4.06]",0,0,0,0,0.000711001780590756
"449","(4.01,4.06]",1,0,0,0,0.00017735324464899
"450","(4.01,4.06]",2,0,0,0,0.000178283641163093
"451","(4.01,4.06]",3,0,0,0,8.72226248016052e-05
"452","(4.01,4.06]",4,1.62804667503597,0,0,5.00800994647052e-05
"453","(4.06,4.1]",0,0,0,0,0.000673573091984589
"454","(4.06,4.1]",1,0,0,0,0.000167988184305936
"455","(4.06,4.1]",2,0,0,0,0.000175609956448645
"456","(4.06,4.1]",3,0,0,0,8.42444531472236e-05
"457","(4.06,4.1]",4,0.817222428853885,0,0,4.8174463379788e-05
"458","(4.1,7]",0,0,0,0,0.0189484077977294
"459","(4.1,7]",1,0,0,0,0.00465688968281475
"460","(4.1,7]",2,0,0,0,0.00466383178854735
"461","(4.1,7]",3,0,0,0,0.00226539660262292
"462","(4.1,7]",4,0,0,0,0.00129528695454715
