"","ymin_group","kids","actual_mean","optimalc_mean","optimalv_mean","mass_sum"
"169","(1.6,1.64]",1,22.9835077163565,0,10.0274871394058,0.00226283816481888
"170","(1.6,1.64]",2,29.2410942349615,26.5506788615256,17.4493211384744,0.00254832302499694
"171","(1.6,1.64]",3,35.4984093736558,33.4952281209673,12.8391656299288,0.00130259807938833
"172","(1.6,1.64]",4,41.6384006908414,35.340802533085,8.65919746691496,0.000777232088989564
"173","(1.64,1.68]",0,9.25748784017211,0,0,0.00704019336355959
"174","(1.64,1.68]",1,23.0587795269512,0,0,0.00214800453725856
"175","(1.64,1.68]",2,29.2405028031861,26.5485102783488,0,0.00243263325943433
"176","(1.64,1.68]",3,35.5517720365374,31.3564974673038,0,0.0012655928951669
"177","(1.64,1.68]",4,41.6795296938537,35.4916088774636,0,0.000738913880499465
"178","(1.68,1.73]",0,8.59110059038241,0,0,0.00688937365984845
"179","(1.68,1.73]",1,23.0296163079411,0,0,0.00207009401378037
"180","(1.68,1.73]",2,29.3027359083811,23.7338917022387,0,0.00229413581636067
"181","(1.68,1.73]",3,35.5623738248627,31.3953706911631,0,0.00118180377208988
"182","(1.68,1.73]",4,41.6463002659242,35.3697676417222,0,0.000697976727572847
"183","(1.73,1.77]",0,8.69617072161914,0,0,0.00662622476569905
"184","(1.73,1.77]",1,23.0501374688544,0,0,0.00200823537191631
"185","(1.73,1.77]",2,29.278644761382,10.917967142073,0,0.00221751989013788
"186","(1.73,1.77]",3,35.5522212199047,31.3581444729839,0,0.00114081759908297
"187","(1.73,1.77]",4,41.6699837924863,35.4566072391165,0,0.000659088116295208
"188","(1.77,1.81]",0,8.70345313593212,0,0,0.00634657823365421
"189","(1.77,1.81]",1,23.1341649650818,0,0,0.00186768662569772
"190","(1.77,1.81]",2,29.3158414881175,0,0,0.00209548391648323
"191","(1.77,1.81]",3,35.5685592803851,31.4180506947455,0,0.00105930684157122
"192","(1.77,1.81]",4,41.7235048316316,35.652851049316,0,0.000621684146310192
"193","(1.81,1.86]",0,8.78640738186543,0,0,0.00615633325662155
"194","(1.81,1.86]",1,23.1043735937838,0,0,0.00181758901670842
"195","(1.81,1.86]",2,29.3358688589131,0,0,0.00195797835516927
"196","(1.81,1.86]",3,35.5972147419543,31.5231207204989,0,0.00100673566750471
"197","(1.81,1.86]",4,41.6148515799517,35.2544557931564,0,0.00060581333747187
"198","(1.86,1.9]",0,8.91864090100423,0,0,0.00579870918152998
"199","(1.86,1.9]",1,23.1393415154254,0,0,0.00171191081887278
"200","(1.86,1.9]",2,29.3250421361081,0,0,0.00190987729843223
"201","(1.86,1.9]",3,35.5828342411919,31.4703922177036,0,0.000975565856345424
"202","(1.86,1.9]",4,41.7228586861055,35.6504818490536,0,0.000550396535502747
"203","(1.9,1.94]",0,8.83911692356137,0,0,0.00561625236465896
"204","(1.9,1.94]",1,23.1595072609256,0,0,0.00162520896076318
"205","(1.9,1.94]",2,29.3813034525937,0,0,0.00177174906235273
"206","(1.9,1.94]",3,35.6056400147311,14.3427333578852,0,0.000901006847347235
"207","(1.9,1.94]",4,41.7199736755536,35.6399034770298,0,0.000529812209642166
"208","(1.94,1.99]",0,8.91166345730572,0,0,0.00547574411849467
"209","(1.94,1.99]",1,22.6758179554101,0,0,0.00157646692667721
"210","(1.94,1.99]",2,29.0019360614762,0,0,0.0016982475774691
"211","(1.94,1.99]",3,35.3345985096362,14.3609207840557,0,0.000875835870788864
"212","(1.94,1.99]",4,41.4881599093565,35.4983873855143,0,0.00049611840506737
"213","(1.99,2.03]",0,9.00926562290992,0,0,0.00513331136789048
"214","(1.99,2.03]",1,22.2555731147869,0,0,0.00146867831352112
"215","(1.99,2.03]",2,28.5554369818486,0,0,0.00165327541260377
"216","(1.99,2.03]",3,35.0507322459963,0,0,0.000809653499077279
