"","ymin_group","marital","actual_mean","optimalc_mean","optimalv_mean","mass_sum"
"136","(3.02,3.06]",1,16.8809470079233,0,0,0.00157508790684954
"137","(3.06,3.11]",0,0,0,0,0.00151703499664375
"138","(3.06,3.11]",1,14.8616349461678,0,0,0.00152412346145811
"139","(3.11,3.15]",0,0,0,0,0.0014631883902745
"140","(3.11,3.15]",1,13.8362176765016,0,0,0.00145572255508409
"141","(3.15,3.19]",0,0,0,0,0.00135854240231572
"142","(3.15,3.19]",1,12.8376916577496,0,0,0.00136895904231427
"143","(3.19,3.24]",0,0,0,0,0.00133533321172515
"144","(3.19,3.24]",1,11.8676842763459,0,0,0.0013242603145124
"145","(3.24,3.28]",0,0,0,0,0.0012656262323651
"146","(3.24,3.28]",1,9.79351556762571,0,0,0.00127908571103554
"147","(3.28,3.32]",0,0,0,0,0.00121283505770885
"148","(3.28,3.32]",1,8.80814175819092,0,0,0.00121711695488469
"149","(3.32,3.37]",0,0,0,0,0.00117544599676278
"150","(3.32,3.37]",1,7.76999961312464,0,0,0.00117114428002222
"151","(3.37,3.41]",0,0,0,0,0.00109142652328397
"152","(3.37,3.41]",1,6.76689487352918,0,0,0.00112022271504394
"153","(3.41,3.45]",0,0,0,0,0.00107418678738636
"154","(3.41,3.45]",1,5.27559234532856,0,0,0.00107060622950572
"155","(3.45,3.5]",0,0,0,0,0.00101335890636634
"156","(3.45,3.5]",1,4.68149145398871,0,0,0.00102636660820669
"157","(3.5,3.54]",0,0,0,0,0.000973267655991822
"158","(3.5,3.54]",1,4.13018266157838,0,0,0.000986484617113628
"159","(3.54,3.58]",0,0,0,0,0.00093217506329385
"160","(3.54,3.58]",1,3.62252642430185,0,0,0.000939771888243519
"161","(3.58,3.62]",0,0,0,0,0.000900459579720609
"162","(3.58,3.62]",1,2.70723319074142,0,0,0.000904604535295115
"163","(3.62,3.67]",0,0,0,0,0.000857245165171991
"164","(3.62,3.67]",1,2.32565723666548,0,0,0.000865286044937376
"165","(3.67,3.71]",0,0,0,0,0.000829140312212129
"166","(3.67,3.71]",1,1.97130350961221,0,0,0.000843214793466894
"167","(3.71,3.75]",0,0,0,0,0.000793218541493378
"168","(3.71,3.75]",1,1.5655289011195,0,0,0.000799673125874956
"169","(3.75,3.8]",0,0,0,0,0.000735460927045749
"170","(3.75,3.8]",1,1.06538268283029,0,0,0.000759636145512796
"171","(3.8,3.84]",0,0,0,0,0.000734248326832601
"172","(3.8,3.84]",1,0.878658971081404,0,0,0.000736532380560696
"173","(3.84,3.88]",0,0,0,0,0.000691841492029574
"174","(3.84,3.88]",1,0.685189643609229,0,0,0.000708509381461974
"175","(3.88,3.93]",0,0,0,0,0.000683110603531564
"176","(3.88,3.93]",1,0.497537514521902,0,0,0.000686288665069687
"177","(3.93,3.97]",0,0,0,0,0.00063255458701966
"178","(3.93,3.97]",1,0.275225347051593,0,0,0.000648099798764298
"179","(3.97,4.01]",0,0,0,0,0.000610425940668646
"180","(3.97,4.01]",1,0.203341321389491,0,0,0.00062036823595554
"181","(4.01,4.06]",0,0,0,0,0.000597677920384852
"182","(4.01,4.06]",1,0.134484004752505,0,0,0.000606263470284298
"183","(4.06,4.1]",0,0,0,0,0.00056867187162339
"184","(4.06,4.1]",1,0.0677707235029902,0,0,0.000580918277642791
"185","(4.1,7]",0,0,0,0,0.0156090419392421
"186","(4.1,7]",1,0,0,0,0.0162207708870194
